Freq.	I(R1)
1.94536008162263e+008	(-9.41107801885155e+001dB,-9.24840441075268e+001°)
1.94984459975802e+008	(-9.40486258019043e+001dB,-9.24900409612508e+001°)
1.95433945577536e+008	(-9.39864609317736e+001dB,-9.24960538127223e+001°)
1.95884467350596e+008	(-9.39242855244752e+001dB,-9.25020827152529e+001°)
1.96336027683602e+008	(-9.38620995260608e+001dB,-9.25081277224308e+001°)
1.96788628970681e+008	(-9.37999028822795e+001dB,-9.25141888882406e+001°)
1.97242273611482e+008	(-9.37376955385761e+001dB,-9.25202662668160e+001°)
1.97696964011183e+008	(-9.36754774400901e+001dB,-9.25263599125786e+001°)
1.98152702580507e+008	(-9.36132485316520e+001dB,-9.25324698802792e+001°)
1.98609491735734e+008	(-9.35510087577834e+001dB,-9.25385962248368e+001°)
1.99067333898715e+008	(-9.34887580626932e+001dB,-9.25447390015081e+001°)
1.99526231496885e+008	(-9.34264963902758e+001dB,-9.25508982658517e+001°)
1.99986186963271e+008	(-9.33642236841104e+001dB,-9.25570740736269e+001°)
2.00447202736513e+008	(-9.33019398874579e+001dB,-9.25632664809066e+001°)
2.00909281260869e+008	(-9.32396449432586e+001dB,-9.25694755440545e+001°)
2.01372424986235e+008	(-9.31773387941302e+001dB,-9.25757013197010e+001°)
2.01836636368153e+008	(-9.31150213823672e+001dB,-9.25819438647587e+001°)
2.02301917867824e+008	(-9.30526926499361e+001dB,-9.25882032364740e+001°)
2.02768271952125e+008	(-9.29903525384762e+001dB,-9.25944794922906e+001°)
2.03235701093619e+008	(-9.29280009892948e+001dB,-9.26007726899982e+001°)
2.03704207770568e+008	(-9.28656379433671e+001dB,-9.26070828877130e+001°)
2.04173794466949e+008	(-9.28032633413320e+001dB,-9.26134101437717e+001°)
2.04644463672464e+008	(-9.27408771234925e+001dB,-9.26197545168497e+001°)
2.05116217882553e+008	(-9.26784792298106e+001dB,-9.26261160659489e+001°)
2.05589059598411e+008	(-9.26160695999077e+001dB,-9.26324948502670e+001°)
2.06062991326997e+008	(-9.25536481730603e+001dB,-9.26388909294388e+001°)
2.06538015581049e+008	(-9.24912148881988e+001dB,-9.26453043633377e+001°)
2.07014134879101e+008	(-9.24287696839049e+001dB,-9.26517352121320e+001°)
2.07491351745487e+008	(-9.23663124984095e+001dB,-9.26581835363169e+001°)
2.07969668710366e+008	(-9.23038432695900e+001dB,-9.26646493967034e+001°)
2.08449088309725e+008	(-9.22413619349680e+001dB,-9.26711328544417e+001°)
2.08929613085400e+008	(-9.21788684317079e+001dB,-9.26776339709281e+001°)
2.09411245585086e+008	(-9.21163626966128e+001dB,-9.26841528079724e+001°)
2.09893988362349e+008	(-9.20538446661235e+001dB,-9.26906894276038e+001°)
2.10377843976644e+008	(-9.19913142763154e+001dB,-9.26972438922848e+001°)
2.10862814993325e+008	(-9.19287714628964e+001dB,-9.27038162647125e+001°)
2.11348903983661e+008	(-9.18662161612037e+001dB,-9.27104066079849e+001°)
2.11836113524846e+008	(-9.18036483062030e+001dB,-9.27170149854530e+001°)
2.12324446200018e+008	(-9.17410678324842e+001dB,-9.27236414608952e+001°)
2.12813904598267e+008	(-9.16784746742593e+001dB,-9.27302860983444e+001°)
2.13304491314654e+008	(-9.16158687653606e+001dB,-9.27369489622004e+001°)
2.13796208950219e+008	(-9.15532500392375e+001dB,-9.27436301172813e+001°)
2.14289060112002e+008	(-9.14906184289542e+001dB,-9.27503296286261e+001°)
2.14783047413049e+008	(-9.14279738671870e+001dB,-9.27570475616634e+001°)
2.15278173472433e+008	(-9.13653162862211e+001dB,-9.27637839822153e+001°)
2.15774440915263e+008	(-9.13026456179494e+001dB,-9.27705389564127e+001°)
2.16271852372698e+008	(-9.12399617938681e+001dB,-9.27773125507444e+001°)
2.16770410481965e+008	(-9.11772647450755e+001dB,-9.27841048320848e+001°)
2.17270117886370e+008	(-9.11145544022678e+001dB,-9.27909158676818e+001°)
2.17770977235312e+008	(-9.10518306957381e+001dB,-9.27977457250600e+001°)
2.18272991184296e+008	(-9.09890935553724e+001dB,-9.28045944722016e+001°)
2.18776162394951e+008	(-9.09263429106465e+001dB,-9.28114621774073e+001°)
2.19280493535041e+008	(-9.08635786906246e+001dB,-9.28183489094007e+001°)
2.19785987278478e+008	(-9.08008008239551e+001dB,-9.28252547372647e+001°)
2.20292646305341e+008	(-9.07380092388697e+001dB,-9.28321797303602e+001°)
2.20800473301886e+008	(-9.06752038631773e+001dB,-9.28391239585751e+001°)
2.21309470960560e+008	(-9.06123846242642e+001dB,-9.28460874921211e+001°)
2.21819641980018e+008	(-9.05495514490894e+001dB,-9.28530704015675e+001°)
2.22330989065136e+008	(-9.04867042641824e+001dB,-9.28600727579312e+001°)
